date,CO2,RH,temp,Air temperature,Wind speed (m/s),Solar radiation , Rain,Plug_Basement,Cooling,Exhaust fan,Heating,IT,Lighting,Plug,PV,Control,Hot_Water,Others,ALL_loads
2022/6/4 0:00,409.9012172,48.91680553,20.79769859,12.8875,0.94230769,1,1,0.079901991,0.001988433,0.003936633,0.032033733,0.642647177,0.002105017,0.031895331,-0.097527076,0.201294331,0.329022381,0.20991493,1.437212881
2022/6/4 1:00,411.9104397,48.58379156,20.76334496,12.76916667,0.94230769,1,1,0.075193893,0.002004426,0.003944557,0.032115802,0.640722154,0.002116689,0.031985652,-0.099740205,0.19914416,0.000540885,0.210266766,1.098294779
2022/6/4 2:00,412.0999953,48.55749989,20.77066646,13.00333333,0.94230769,1,1,0.075744291,0.002000633,0.003981033,0.032158198,0.639229218,0.002124933,0.032292514,-0.099819192,0.198854112,0.0011561,0.211468445,1.099190285
2022/6/4 3:00,0,0,0,12.95333333,0.94230769,1,1,0.080035607,0.0020088,0.00400185,0.032180032,0.640924063,0.00212905,0.032491331,-0.101428757,0.198895681,0.001146033,0.211767062,1.104150752
2022/6/4 4:00,0,0,0,12.92166667,0.94230769,1,1,0.03235738,0.001997683,0.003979633,0.032203515,0.638457495,0.003783883,0.032379664,-0.101213798,0.198802664,0.000910617,0.211464963,1.055123699
2022/6/4 5:00,0,0,0,13.15416667,0.94230769,3.25,1,0.065649243,0.0019876,0.0039678,0.032115599,0.637868332,0.003777933,0.03275453,-0.105020129,0.198815147,0.00091055,0.210782746,1.083609351
2022/6/4 6:00,0,0,0,13.5525,0.94230769,33.66666667,1,0.075278074,0.002019483,0.003938983,0.032008616,0.638825646,0.003763967,0.032214281,-0.097507083,0.198828864,0.332304758,0.209413029,1.431088618
2022/6/4 7:00,0,0,0,15.47,0.94230769,130.6666667,1,0.078640507,0.001998467,0.003904067,0.032004132,0.637514368,0.00210335,0.032821131,1.116911689,0.198790997,0.0000942,2.09E-01,2.313406804
2022/6/4 8:00,0,0,0,18.24,0.94230769,237.8333333,1,0.079362491,0.002005,0.00389365,0.031953682,0.636845811,0.002106933,0.032162731,2.799703154,0.198752015,0.0000235,2.08E-01,3.994929695
2022/6/4 9:00,0,0,0,19.66833333,0.94230769,303.75,1,0.132364652,0.002019,0.003874233,0.031977365,0.640722417,0.002097317,0.033106464,3.522832636,0.198855081,0.000228083,0.207397029,4.775474277
2022/6/4 10:00,0,0,0,23.16416667,0.94230769,577,1,0.08214409,0.002022783,0.003855867,0.031807899,0.640318797,0.00209545,0.031805848,6.18883708,0.19883373,0.080940247,0.206690544,7.469352335
2022/6/4 11:00,0,0,0,27.52583333,0.94230769,946.8333333,1,0.079902257,0.001990933,0.003870083,0.031931749,0.642311618,0.002097417,0.032937548,9.449211144,0.198800031,0.532052508,0.206691878,11.18179717
2022/6/4 12:00,0,0,0,29.38833333,0.94230769,1045,1,0.07908929,0.001987867,0.0038842,0.031894732,0.640036856,0.00209505,0.031660548,10.87810041,0.198974081,0.051076767,0.207099478,12.12589928
2022/6/4 13:00,0,0,0,29.37916667,0.94230769,999,1,0.079610607,0.00200735,0.0038768,0.031917433,0.637545383,0.0020894,0.032112897,10.61613989,0.198735065,0.050762451,0.206447562,11.86124483
2022/6/4 14:00,0,0,0,25.755,0.94230769,861.5,1,0.074746924,0.002003383,0.003984367,0.032185732,0.637046083,0.00212765,0.032171897,9.5574766,0.199017079,0.051333868,0.210480197,10.80257378
2022/6/4 15:00,0,0,0,23.2425,0.94230769,704.9166667,1,0.083654191,0.002005433,0.003925933,0.032116449,0.642277128,0.002109667,0.032128197,7.801405367,0.198758246,0.02234265,0.208630695,9.029353956
2022/6/4 16:00,0,0,0,22.475,0.94230769,515.8333333,1,0.074954024,0.0020025,0.0038745,0.031919416,0.640412265,0.002105233,0.032172797,5.716034188,0.198647249,0.004319334,0.206333446,6.912774952
